"PROVINCE or REGION","MUNICIPALITY or CITY","COURT TYPE","BRANCH","JUDGE'S NAME"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","77","Baylon, Ferdinand Campomanes"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","78","Sagun, Fernando, Jr., Tolosa"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","79","Fama, Nadine Jessica Corazon Jaban"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","80","Lopena, Joel Socrates S."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","81","Echiverri, Madonna Concordia"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","82","Ebora-Cacha, Lyn Chua"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","83","Lee, Ralph Sus"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","84","Cortez, Luisito Galvez"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","85","Dilinila-Callanta, Juris S."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","86","Vacant"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","87","Sze, Louie Brian R."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","88","Maglaya, Rosanna Fe Romero"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","89","Burgos-Villavert, Cecilyn E."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","90","Zabat-Tuazon, Maria Zoraida S."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","91","De La Cruz-Espinosa, Kathleen Rosario D."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","92","Vacant"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","93","Vacant"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","94","Tria, Roslyn Rabara"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","95","Bellosillo, Edgardo B."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","96","Sio, Primo Jr., G."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","97","Manuel, Rochelle S."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","98","Vacant"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","99","Punzalan-Toribio, Mary Ayn T."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","100","Miña-Aguba, Editha G."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","101","Castillo-Marigomen, Evangeline C."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","102","Vacant"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","103","Elefante, Felino Zabala"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","104","Manodon, Catherine Pespes"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","105","Galano, Rochelle Yvette D."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","106","Parel, Noel De Lara"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","107","Bautista, Jr., Jose Lacambra"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","215","Hipolito, Rafael Godinez"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","216","Vacant"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","217","Villarama, Carlo Dizon"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","218","Maceren, Luis Zenon Quimpo"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","219","Abergos-Samar, Janet T."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","220","Paneda, Jose G."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","221","Solis-Reyes, Jocelyn A."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","222","Santos, Edgar Dalmacio"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","223","Walse-Lutero, Caridad Manaluz"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","224","Atienza-Fajardo, Zita Marie M."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","225","Gonzales-Betic, Maria Luisa Lesle G."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","226","Sta. Cruz, Manuel, Jr., Basco"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","227","Maramba-Firme, Karen Crystal"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","228","Manzanero-Casiño, Mitushealla R."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","229","Villacorta, Cleto, III, Ramirez"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","230","Loja-Pangilinan, Maria Gilda Tupaz"
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","302","Justo, Karl Barth D."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","303","Evangelista, Billy C."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","304","Cabochan-Santos, Evangeline C."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","305","Turingan-De Los Reyes, Gerlyn S."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","306","Bolante-Prado, Dolly Rose R."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","307","De Castro-Sansaet, Maria Cherell L."
"QUEZON CITY","Quezon City","Regional Trial Court (RTC)","308","Meñez-Macalalad, Kristine Joy M."
